Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
09/06/2011,26,,Allen Park,26-163-0001,AQS
09/07/2011,23,,Allen Park,26-163-0001,AQS
09/08/2011,30,,Allen Park,26-163-0001,AQS
09/09/2011,48,,Allen Park,26-163-0001,AQS
09/10/2011,40,,Allen Park,26-163-0001,AQS
09/11/2011,42,,FIA/Lafayette,26-163-0039,AQS
09/12/2011,60,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
09/13/2011,66,,FIA/Lafayette,26-163-0039,AQS
09/14/2011,53,,Allen Park,26-163-0001,AQS
09/15/2011,19,,Allen Park,26-163-0001,AQS
09/16/2011,26,,Allen Park,26-163-0001,AQS
09/17/2011,27,,Allen Park,26-163-0001,AQS
09/18/2011,37,,Allen Park,26-163-0001,AQS
09/19/2011,42,,FIA/Lafayette,26-163-0039,AQS
09/20/2011,43,,Allen Park,26-163-0001,AQS
09/21/2011,57,,Southwestern H.S.,26-163-0015,AQS
09/22/2011,35,,FIA/Lafayette,26-163-0039,AQS
09/23/2011,27,,Allen Park,26-163-0001,AQS
09/24/2011,49,,Allen Park,26-163-0001,AQS
09/25/2011,50,,Allen Park,26-163-0001,AQS
09/26/2011,29,,Allen Park,26-163-0001,AQS
09/27/2011,54,,,26-163-0016,AQS
09/28/2011,31,,Allen Park,26-163-0001,AQS
09/29/2011,40,,FIA/Lafayette,26-163-0039,AQS
09/30/2011,20,,Allen Park,26-163-0001,AQS
10/01/2011,18,,Allen Park,26-163-0001,AQS
10/02/2011,16,,Allen Park,26-163-0001,AQS
10/03/2011,24,,Southwestern H.S.,26-163-0015,AQS
10/04/2011,49,,Allen Park,26-163-0001,AQS
10/05/2011,64,,Allen Park,26-163-0001,AQS
10/06/2011,69,,Allen Park,26-163-0001,AQS
10/07/2011,87,,Allen Park,26-163-0001,AQS
10/08/2011,85,,Allen Park,26-163-0001,AQS
10/09/2011,87,,Allen Park,26-163-0001,AQS
10/10/2011,70,,Allen Park,26-163-0001,AQS
10/11/2011,59,,Allen Park,26-163-0001,AQS
10/12/2011,57,,Port Huron,26-147-0005,AQS
10/13/2011,60,,Allen Park,26-163-0001,AQS
10/14/2011,25,,Allen Park,26-163-0001,AQS
10/15/2011,25,,Allen Park,26-163-0001,AQS
10/16/2011,31,,Allen Park,26-163-0001,AQS
10/17/2011,28,,Allen Park,26-163-0001,AQS
10/18/2011,53,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/19/2011,37,,Allen Park,26-163-0001,AQS
