Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
9/15/20,33,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
9/16/20,52,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
9/17/20,31,,Allen Park,26-163-0001,AQS
9/18/20,29,,Allen Park,26-163-0001,AQS
9/19/20,38,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/20/20,59,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/21/20,48,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
9/22/20,60,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/23/20,67,,Southwestern H.S.,26-163-0015,AQS
9/24/20,61,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/25/20,79,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/26/20,56,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/27/20,57,,Allen Park,26-163-0001,AQS
9/28/20,43,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/29/20,40,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/30/20,30,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/1/20,24,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/2/20,24,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
10/3/20,31,,ELIZA-NR,26-163-0093,AQS
10/4/20,35,,ELIZA-NR,26-163-0093,AQS
10/5/20,41,,Southwestern H.S.,26-163-0015,AQS
10/6/20,47,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/7/20,44,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/8/20,65,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
10/9/20,55,,ELIZA-NR,26-163-0093,AQS
10/10/20,62,,Southwestern H.S.,26-163-0015,AQS
10/11/20,27,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
10/12/20,26,,ELIZA-NR,26-163-0093,AQS
10/13/20,29,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/14/20,38,,Southwestern H.S.,26-163-0015,AQS
10/15/20,37,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
