Date,PM2.5AQI Value,Main Pollutant,Site Name,Site ID,Source
9/16/01,71,,Allen Park,26-163-0001,AQS
9/17/01,81,,,26-163-0016,AQS
9/18/01,77,,Allen Park,26-163-0001,AQS
9/19/01,113,,Port Huron,26-147-0005,AQS
9/20/01,37,,Allen Park,26-163-0001,AQS
9/21/01,67,,Allen Park,26-163-0001,AQS
9/22/01,59,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
9/23/01,62,,Allen Park,26-163-0001,AQS
9/24/01,11,,Allen Park,26-163-0001,AQS
9/25/01,20,,New Haven,26-099-0009,AQS
9/26/01,16,,Allen Park,26-163-0001,AQS
9/27/01,24,,Allen Park,26-163-0001,AQS
9/28/01,46,,338 FEET NORTH TO I-696 FREEWAY,26-125-0010,AQS
9/29/01,30,,Allen Park,26-163-0001,AQS
9/30/01,46,,,26-163-0016,AQS
10/1/01,72,,92 FEET FROM WHE STREET,26-163-0036,AQS
10/2/01,66,,Allen Park,26-163-0001,AQS
10/3/01,66,,,26-163-0016,AQS
10/4/01,58,,92 FEET FROM WHE STREET,26-163-0036,AQS
10/5/01,25,,Allen Park,26-163-0001,AQS
10/6/01,21,,Allen Park,26-163-0001,AQS
10/7/01,28,,Allen Park,26-163-0001,AQS
10/10/01,62,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/12/01,27,,,26-163-0016,AQS
10/13/01,53,,Port Huron,26-147-0005,AQS
10/14/01,23,,,26-163-0016,AQS
10/15/01,23,,,26-163-0016,AQS
10/16/01,34,,New Haven,26-099-0009,AQS
