Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
09/10/1999,27,,,26-163-0016,AQS
09/11/1999,41,,,26-163-0016,AQS
09/12/1999,64,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
09/13/1999,52,,Allen Park,26-163-0001,AQS
09/14/1999,36,,,26-163-0016,AQS
09/15/1999,51,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
09/16/1999,20,,Allen Park,26-163-0001,AQS
09/17/1999,29,,Allen Park,26-163-0001,AQS
09/18/1999,58,,Allen Park,26-163-0001,AQS
09/19/1999,75,,,26-163-0016,AQS
09/20/1999,45,,,26-163-0016,AQS
09/21/1999,27,,Southwestern H.S.,26-163-0015,AQS
09/22/1999,30,,Allen Park,26-163-0001,AQS
09/23/1999,42,,,26-163-0016,AQS
09/24/1999,44,,Southwestern H.S.,26-163-0015,AQS
09/25/1999,28,,Allen Park,26-163-0001,AQS
09/26/1999,75,,,26-163-0016,AQS
09/27/1999,92,,Southwestern H.S.,26-163-0015,AQS
09/28/1999,65,,,26-163-0016,AQS
09/29/1999,33,,,26-163-0016,AQS
09/30/1999,38,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/01/1999,30,,Allen Park,26-163-0001,AQS
10/02/1999,44,,,26-163-0016,AQS
10/03/1999,26,,Allen Park,26-163-0001,AQS
10/04/1999,28,,Allen Park,26-163-0001,AQS
10/05/1999,43,,,26-163-0016,AQS
10/06/1999,40,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/07/1999,23,,Allen Park,26-163-0001,AQS
10/08/1999,74,,,26-163-0016,AQS
10/09/1999,100,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/10/1999,58,,,26-163-0016,AQS
10/11/1999,33,,Allen Park,26-163-0001,AQS
10/12/1999,62,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/13/1999,61,,,26-163-0016,AQS
10/14/1999,26,,Allen Park,26-163-0001,AQS
10/15/1999,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/16/1999,81,,,26-163-0016,AQS
10/17/1999,30,,Allen Park,26-163-0001,AQS
10/18/1999,28,,Southwestern H.S.,26-163-0015,AQS
10/19/1999,43,,,26-163-0016,AQS
10/20/1999,54,,Allen Park,26-163-0001,AQS
10/21/1999,62,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/22/1999,20,,,26-163-0016,AQS
10/23/1999,7,,Allen Park,26-163-0001,AQS
10/24/1999,27,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/25/1999,52,,,26-163-0016,AQS
10/26/1999,33,,Allen Park,26-163-0001,AQS
10/27/1999,52,,Southwestern H.S.,26-163-0015,AQS
10/28/1999,74,,,26-163-0016,AQS
10/29/1999,103,,Allen Park,26-163-0001,AQS
10/30/1999,139,,Southwestern H.S.,26-163-0015,AQS
10/31/1999,78,,Allen Park,26-163-0001,AQS
11/01/1999,110,,,26-163-0016,AQS
11/02/1999,37,,Southwestern H.S.,26-163-0015,AQS
11/03/1999,10,,,26-163-0016,AQS
11/04/1999,59,,,26-163-0016,AQS
11/05/1999,71,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/06/1999,42,,Allen Park,26-163-0001,AQS
11/07/1999,34,,Allen Park,26-163-0001,AQS
11/08/1999,87,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/09/1999,66,,,26-163-0016,AQS
11/10/1999,81,,Allen Park,26-163-0001,AQS
11/11/1999,47,,Southwestern H.S.,26-163-0015,AQS
11/12/1999,76,,Allen Park,26-163-0001,AQS
11/13/1999,148,,,26-163-0016,AQS
11/14/1999,57,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/15/1999,10,,,26-163-0016,AQS
11/16/1999,21,,Allen Park,26-163-0001,AQS
11/17/1999,48,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/18/1999,89,,,26-163-0016,AQS
11/19/1999,99,,,26-163-0016,AQS
11/20/1999,81,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/21/1999,105,,,26-163-0016,AQS
11/22/1999,119,,,26-163-0016,AQS
11/23/1999,116,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/25/1999,58,,,26-163-0016,AQS
11/26/1999,68,,Oak Park,26-125-0001,AQS
11/27/1999,56,,,26-163-0016,AQS
11/28/1999,41,,,26-163-0016,AQS
11/29/1999,33,,Southwestern H.S.,26-163-0015,AQS
