Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
03/05/2021,33,,Military Park (GHIB),26-163-0100,AQS
03/06/2021,27,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
03/07/2021,37,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
03/08/2021,60,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
03/09/2021,77,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
03/10/2021,83,,Southwestern H.S.,26-163-0015,AQS
03/11/2021,59,,Southwestern H.S.,26-163-0015,AQS
03/12/2021,40,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
03/13/2021,31,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/14/2021,35,,ELIZA-NR,26-163-0093,AQS
03/15/2021,30,,ELIZA-NR,26-163-0093,AQS
03/16/2021,51,,ELIZA-NR,26-163-0093,AQS
03/17/2021,71,,Allen Park,26-163-0001,AQS
03/18/2021,33,,ELIZA-NR,26-163-0093,AQS
03/19/2021,35,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
03/20/2021,56,,Port Huron,26-147-0005,AQS
03/21/2021,56,,ELIZA-NR,26-163-0093,AQS
03/22/2021,58,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
03/23/2021,51,,ELIZA-NR,26-163-0093,AQS
03/24/2021,43,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/25/2021,47,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
03/26/2021,25,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/27/2021,55,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
03/28/2021,35,,ELIZA-NR,26-163-0093,AQS
03/29/2021,34,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
03/30/2021,56,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/31/2021,37,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/01/2021,28,,ELIZA-NR,26-163-0093,AQS
04/02/2021,35,,ELIZA-NR,26-163-0093,AQS
04/03/2021,66,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/04/2021,87,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
04/05/2021,72,,ELIZA-NR,26-163-0093,AQS
04/06/2021,85,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/07/2021,93,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/08/2021,64,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/09/2021,54,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/10/2021,55,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/11/2021,25,,ELIZA-NR,26-163-0093,AQS
04/12/2021,38,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
