Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
3/4/20,8,,ELIZA-NR,26-163-0093,AQS
3/5/20,9,,Allen Park,26-163-0001,AQS
3/6/20,10,,NORTHWEST,26-163-1005,AQS
3/7/20,9,,NORTHWEST,26-163-1005,AQS
3/8/20,7,,ELIZA-NR,26-163-0093,AQS
3/9/20,7,,ELIZA-NR,26-163-0093,AQS
3/10/20,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
3/11/20,9,,ELIZA-NR,26-163-0093,AQS
3/12/20,9,,ELIZA-NR,26-163-0093,AQS
3/13/20,7,,ELIZA-NR,26-163-0093,AQS
3/14/20,7,,Allen Park,26-163-0001,AQS
3/15/20,6,,Allen Park,26-163-0001,AQS
3/16/20,7,,Allen Park,26-163-0001,AQS
3/17/20,7,,MARK TWAIN MIDDLE SCHOOL,26-163-1009,AQS
3/18/20,8,,Allen Park,26-163-0001,AQS
3/19/20,8,,ELIZA-NR,26-163-0093,AQS
3/20/20,7,,ELIZA-NR,26-163-0093,AQS
3/21/20,6,,West corner,26-163-1006,AQS
3/22/20,7,,West corner,26-163-1006,AQS
3/23/20,7,,West corner,26-163-1006,AQS
3/24/20,7,,ELIZA-NR,26-163-0093,AQS
3/25/20,7,,ELIZA-NR,26-163-0093,AQS
3/26/20,7,,ELIZA-NR,26-163-0093,AQS
3/27/20,17,,West corner,26-163-1006,AQS
3/28/20,14,,West corner,26-163-1006,AQS
3/29/20,14,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
3/30/20,5,,ELIZA-NR,26-163-0093,AQS
3/31/20,6,,ELIZA-NR,26-163-0093,AQS
4/1/20,6,,ELIZA-NR,26-163-0093,AQS
4/2/20,7,,ELIZA-NR,26-163-0093,AQS
4/3/20,13,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
4/4/20,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
4/5/20,6,,ELIZA-NR,26-163-0093,AQS
4/6/20,11,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
4/7/20,8,,ELIZA-NR,26-163-0093,AQS
4/8/20,7,,ELIZA-NR,26-163-0093,AQS
4/9/20,5,,Allen Park,26-163-0001,AQS
4/10/20,5,,Allen Park,26-163-0001,AQS
