Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
5/16/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/17/19,25,,MARK TWAIN MIDDLE SCHOOL,26-163-1009,AQS
5/18/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/19/19,11,,(Northeast corner),26-163-1008,AQS
5/20/19,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/21/19,8,,West corner,26-163-1006,AQS
5/22/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/23/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/24/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/25/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/26/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/27/19,13,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/28/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/29/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/30/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
5/31/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/1/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/2/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/3/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/4/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/5/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/6/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/7/19,11,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/8/19,8,,(Northeast corner),26-163-1008,AQS
6/9/19,11,,(Northeast corner),26-163-1008,AQS
6/10/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/11/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/12/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/13/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/14/19,5,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
6/15/19,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/16/19,6,,LIVONIA-NR,26-163-0095,AQS
6/17/19,7,,LIVONIA-NR,26-163-0095,AQS
6/18/19,8,,ELIZA-NR,26-163-0093,AQS
6/19/19,8,,ELIZA-NR,26-163-0093,AQS
6/20/19,7,,LIVONIA-NR,26-163-0095,AQS
6/21/19,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/22/19,6,,LIVONIA-NR,26-163-0095,AQS
6/23/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/24/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/25/19,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/26/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/27/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/28/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/29/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
6/30/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
7/1/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
7/2/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
7/3/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
7/4/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
7/5/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
7/6/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
7/7/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
7/8/19,9,,West corner,26-163-1006,AQS
7/9/19,8,,Allen Park,26-163-0001,AQS
7/10/19,7,,Allen Park,26-163-0001,AQS
