Date, AQI Value,Main Pollutant,Site Name,Site ID,Source
12/1/80,66.0,CO,,26-163-0021,AQS
12/2/80,43.0,NO2,,26-163-0020,AQS
12/3/80,42.0,NO2,,26-163-0020,AQS
12/4/80,58.0,CO,,26-163-0021,AQS
12/5/80,83.0,CO,,26-163-0021,AQS
12/6/80,72.0,CO,,26-163-0021,AQS
12/7/80,63.0,CO,,26-163-0021,AQS
12/8/80,40.0,CO,,26-163-0021,AQS
12/9/80,57.0,NO2,East 7 Mile,26-163-0019,AQS
12/10/80,34.0,Ozone,New Haven,26-099-0009,AQS
12/11/80,47.0,CO,,26-163-0021,AQS
12/12/80,45.0,CO,,26-163-0021,AQS
12/13/80,39.0,NO2,East 7 Mile,26-163-0019,AQS
12/14/80,54.0,CO,Allen Park,26-163-0001,AQS
12/15/80,68.0,CO,Allen Park,26-163-0001,AQS
12/16/80,53.0,NO2,,26-163-0016,AQS
12/17/80,49.0,NO2,,26-163-0016,AQS
12/18/80,38.0,Ozone,New Haven,26-099-0009,AQS
12/19/80,39.0,Ozone,New Haven,26-099-0009,AQS
12/20/80,36.0,Ozone,,26-163-2002,AQS
12/21/80,54.0,NO2,,26-163-0020,AQS
12/22/80,65.0,CO,,26-163-0021,AQS
12/23/80,55.0,CO,,26-163-0021,AQS
12/24/80,41.0,Ozone,New Haven,26-099-0009,AQS
12/25/80,42.0,NO2,,26-163-0020,AQS
12/26/80,39.0,NO2,,26-163-0020,AQS
12/27/80,51.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
12/28/80,51.0,NO2,,26-147-0905,AQS
12/29/80,65.0,CO,,26-163-0021,AQS
12/30/80,57.0,CO,,26-163-0021,AQS
12/31/80,49.0,CO,,26-163-0021,AQS
1/1/81,37.0,Ozone,New Haven,26-099-0009,AQS
1/2/81,39.0,NO2,,26-163-0020,AQS
1/3/81,36.0,Ozone,New Haven,26-099-0009,AQS
1/4/81,42.0,NO2,,26-163-0016,AQS
1/5/81,46.0,NO2,,26-163-0020,AQS
1/6/81,42.0,NO2,,26-163-0016,AQS
1/7/81,41.0,NO2,,26-163-0016,AQS
1/8/81,73.0,NO2,,26-163-0016,AQS
1/9/81,68.0,CO,,26-163-0021,AQS
1/10/81,42.0,NO2,,26-147-0904,AQS
1/11/81,42.0,NO2,,26-163-0016,AQS
1/12/81,57.0,NO2,Oak Park,26-125-0001,AQS
1/13/81,86.0,CO,,26-163-0021,AQS
1/14/81,62.0,NO2,Oak Park,26-125-0001,AQS
1/15/81,83.0,NO2,Oak Park,26-125-0001,AQS
1/16/81,47.0,NO2,,26-147-0905,AQS
1/17/81,51.0,NO2,Oak Park,26-125-0001,AQS
1/18/81,61.0,NO2,,26-163-0016,AQS
1/19/81,102.0,NO2,Oak Park,26-125-0001,AQS
1/20/81,106.0,NO2,,26-147-0904,AQS
1/21/81,54.0,NO2,Oak Park,26-125-0001,AQS
1/22/81,70.0,NO2,Oak Park,26-125-0001,AQS
1/23/81,54.0,NO2,Oak Park,26-125-0001,AQS
1/24/81,147.0,NO2,Oak Park,26-125-0001,AQS
1/25/81,109.0,NO2,Oak Park,26-125-0001,AQS
1/26/81,49.0,NO2,Oak Park,26-125-0001,AQS
1/27/81,49.0,NO2,Oak Park,26-125-0001,AQS
1/28/81,171.0,NO2,Oak Park,26-125-0001,AQS
1/29/81,44.0,NO2,Oak Park,26-125-0001,AQS
1/30/81,61.0,NO2,,26-147-0905,AQS
1/31/81,60.0,NO2,,26-163-0016,AQS
2/1/81,42.0,NO2,,26-163-0016,AQS
2/2/81,41.0,NO2,,26-163-0020,AQS
2/3/81,39.0,CO,,26-163-0021,AQS
2/4/81,42.0,NO2,,26-163-0016,AQS
2/5/81,44.0,NO2,,26-163-0020,AQS
